randomisation_order,screened,initial_inclusion,final_inclusion,exclusion_reason,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
894,No,,,,,10.1371/journal.pone.0221421,PLOS ONE,Research Article,"Bradley J Nartowt,Gregory R Hart,David A Roffman,Xavier Llor,Issa Ali,Wazir Muhammad,Ying Liang,Jun Deng",18,Scoring colorectal cancer risk with an artificial neural network based on self-reportable personal health data,"/Biology and life sciences/Anatomy/Digestive system/Gastrointestinal tract/Colon,/Biology and life sciences/Computational biology/Computational neuroscience/Artificial neural networks,/Biology and life sciences/Neuroscience/Computational neuroscience/Artificial neural networks,/Computer and information sciences/Artificial intelligence/Artificial neural networks,/Medicine and health sciences/Anatomy/Digestive system/Gastrointestinal tract/Colon,/Medicine and health sciences/Diagnostic medicine/Cancer detection and diagnosis,/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus,/Medicine and health sciences/Health care/Health care policy/Screening guidelines,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus,/Medicine and health sciences/Oncology/Cancer detection and diagnosis,/Medicine and health sciences/Oncology/Cancers and neoplasms/Colorectal cancer,/Medicine and health sciences/Surgical and invasive medical procedures/Digestive system procedures/Colonoscopy,/Medicine and health sciences/Vascular medicine/Blood pressure/Hypertension",22/08/2019,TRUE
895,No,,,,,10.1371/journal.pone.0217199,PLOS ONE,Research Article,"Josef Zapletal,Himanshu Gupta,Madhav Erraguntla,Zach N Adelman,Kevin M Myles,Mark A Lawley",8,Predicting aquatic development and mortality rates of Aedes aegypti,"/Biology and life sciences/Developmental biology/Life cycles/Larvae,/Biology and life sciences/Developmental biology/Life cycles/Pupae,/Biology and life sciences/Nutrition,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects/Mosquitoes,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects/Mosquitoes/Aedes aegypti,/Biology and life sciences/Population biology/Population metrics/Death rates,/Biology and life sciences/Species interactions/Disease vectors/Insect vectors/Mosquitoes,/Biology and life sciences/Species interactions/Disease vectors/Insect vectors/Mosquitoes/Aedes aegypti,/Medicine and health sciences/Infectious diseases/Disease vectors/Insect vectors/Mosquitoes,/Medicine and health sciences/Infectious diseases/Disease vectors/Insect vectors/Mosquitoes/Aedes aegypti,/Medicine and health sciences/Nutrition,/Physical sciences/Mathematics/Statistics/Statistical methods/Forecasting,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Forecasting,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",21/05/2019,TRUE
896,No,,,,,10.1371/journal.pone.0219962,PLOS ONE,Research Article,"Alexa A Pragman,Katherine A Knutson,Trevor J Gould,Shane W Hodgson,Richard E Isaacson,Cavan S Reilly,Chris H Wendt",22,Chronic obstructive pulmonary disease upper airway microbiome is associated with select clinical characteristics,"/Biology and life sciences/Anatomy/Body fluids/Mucus/Sputum,/Biology and life sciences/Ecology/Ecological metrics/Species diversity/Shannon index,/Biology and life sciences/Ecology/Ecological metrics/Species diversity/Simpson index,/Biology and life sciences/Genetics/Genomics/Microbial genomics/Microbiome,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Streptococcus,/Biology and life sciences/Microbiology/Medical microbiology/Microbiome,/Biology and life sciences/Microbiology/Microbial genomics/Microbiome,/Biology and life sciences/Organisms/Bacteria/Prevotella,/Biology and life sciences/Organisms/Bacteria/Streptococcus,/Biology and life sciences/Physiology/Body fluids/Mucus/Sputum,/Ecology and environmental sciences/Ecology/Ecological metrics/Species diversity/Shannon index,/Ecology and environmental sciences/Ecology/Ecological metrics/Species diversity/Simpson index,/Medicine and health sciences/Anatomy/Body fluids/Mucus/Sputum,/Medicine and health sciences/Oncology/Cancers and neoplasms/Lung and intrathoracic tumors,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Streptococcus,/Medicine and health sciences/Physiology/Body fluids/Mucus/Sputum,/Medicine and health sciences/Pulmonology/Chronic obstructive pulmonary disease",23/07/2019,TRUE
897,No,,,,,10.1371/journal.pone.0212975,PLOS ONE,Research Article,"Tom E Robertson,Mehdi Nouraie,Shulin Qin,Kristina A Crothers,Cathy J Kessinger,Deborah McMahon,Divay Chandra,Lawrence A Kingsley,Ruth M Greenblatt,Laurence Huang,Meghan E Fitzpatrick,Alison Morris",11,HIV infection is an independent risk factor for decreased 6-minute walk test distance,"/Biology and life sciences/Biochemistry/Proteins/Hemoglobin,/Biology and life sciences/Immunology/Vaccination and immunization/Antiviral therapy/Antiretroviral therapy,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Organisms/Viruses/Immunodeficiency viruses/HIV,/Biology and life sciences/Organisms/Viruses/RNA viruses/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Immunodeficiency viruses/HIV,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Physiology/Biological locomotion/Walking,/Biology and life sciences/Psychology/Behavior/Habits/Smoking habits,/Medicine and health sciences/Immunology/Vaccination and immunization/Antiviral therapy/Antiretroviral therapy,/Medicine and health sciences/Infectious diseases/Viral diseases/HIV infections,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV,/Medicine and health sciences/Physiology/Biological locomotion/Walking,/Medicine and health sciences/Public and occupational health/Preventive medicine/Vaccination and immunization/Antiviral therapy/Antiretroviral therapy,/Medicine and health sciences/Pulmonology,/Medicine and health sciences/Pulmonology/Pulmonary function,/Social sciences/Psychology/Behavior/Habits/Smoking habits",24/04/2019,TRUE
898,No,,,,,10.1371/journal.pone.0220439,PLOS ONE,Research Article,"Li-Jen Cheng,Swee Sung Soon,David Bin-Chia Wu,Hong Ju,Kwong Ng",18,Cost-effectiveness analysis of bilateral cochlear implants for children with severe-to-profound sensorineural hearing loss in both ears in Singapore,"/Biology and life sciences/Anatomy/Head/Ears,/Biology and life sciences/Bioengineering/Biotechnology/Medical devices and equipment,/Biology and life sciences/Bioengineering/Biotechnology/Medical devices and equipment/Medical implants,/Biology and life sciences/Neuroscience/Sensory perception/Hearing,/Biology and life sciences/Psychology/Sensory perception/Hearing,/Engineering and technology/Bioengineering/Biotechnology/Medical devices and equipment,/Engineering and technology/Bioengineering/Biotechnology/Medical devices and equipment/Medical implants,/Engineering and technology/Signal processing/Speech signal processing,/Medicine and health sciences/Anatomy/Head/Ears,/Medicine and health sciences/Medical devices and equipment,/Medicine and health sciences/Medical devices and equipment/Medical implants,/Medicine and health sciences/Otorhinolaryngology/Otology/Hearing disorders/Deafness,/Social sciences/Economics/Economic analysis/Cost-effectiveness analysis,/Social sciences/Linguistics/Speech,/Social sciences/Psychology/Sensory perception/Hearing",15/08/2019,TRUE
899,No,,,,,10.1371/journal.pone.0211421,PLOS ONE,Research Article,"Diogo A Fonseca,Pedro E Antunes,Manuel J Antunes,Maria Dulce Cotrim",11,Histomorphometric analysis of the human internal thoracic artery and relationship with cardiovascular risk factors,"/Biology and life sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries,/Biology and life sciences/Anatomy/Renal system/Kidneys,/Biology and life sciences/Physiology/Physiological processes/Calcification,/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries,/Medicine and health sciences/Anatomy/Renal system/Kidneys,/Medicine and health sciences/Cardiology/Myocardial infarction,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Physiology/Physiological processes/Calcification,/Medicine and health sciences/Vascular medicine/Blood pressure/Hypertension,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Specimen preparation and treatment/Staining/Group-specific staining/Hematoxylin staining",25/01/2019,TRUE
900,No,,,,,10.1371/journal.pone.0221299,PLOS ONE,Research Article,"Elizabeth A Symington,Jeannine Baumgartner,Linda Malan,Amy J Wise,Cristian Ricci,Lizelle Zandberg,Cornelius M Smuts",21,Maternal iron-deficiency is associated with premature birth and higher birth weight despite routine antenatal iron supplementation in an urban South African setting: The NuPED prospective study,"/Biology and life sciences/Biochemistry/Proteins/Protein complexes/Ferritin,/Biology and life sciences/Immunology/Immune response/Inflammation,/Biology and life sciences/Nutrition/Nutritional deficiencies/Iron deficiency,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Inflammation,/Medicine and health sciences/Hematology/Anemia,/Medicine and health sciences/Hematology/Anemia/Iron deficiency anemia,/Medicine and health sciences/Immunology/Immune response/Inflammation,/Medicine and health sciences/Nutrition/Nutritional deficiencies/Iron deficiency,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Inflammation,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Medicine and health sciences/Women's health/Maternal health/Birth/Preterm birth,/Medicine and health sciences/Women's health/Maternal health/Pregnancy,/Medicine and health sciences/Women's health/Maternal health/Pregnancy/Pregnancy complications/Preterm birth,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth/Preterm birth,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy/Pregnancy complications/Preterm birth",3/09/2019,TRUE
901,No,,,,,10.1371/journal.pone.0207988,PLOS ONE,Research Article,"Anne-Laure Boutigny,Angélique Gautier,Ryan Basler,Florian Dauthieux,Stephen Leite,Romain Valade,Jaime Aguayo,Renaud Ioos,Valérie Laval",19,Metabarcoding targeting the EF1 alpha region to assess Fusarium diversity on cereals,"/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Fungal pathogens/Fusarium,/Biology and life sciences/Molecular biology/Molecular biology techniques/Artificial gene amplification and extension/Polymerase chain reaction,/Biology and life sciences/Mycology/Fungal pathogens/Fusarium,/Biology and life sciences/Organisms/Eukaryota/Plants/Grasses/Barley,/Biology and life sciences/Organisms/Eukaryota/Plants/Grasses/Wheat,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Fungal pathogens/Fusarium,/Research and analysis methods/Database and informatics methods/Bioinformatics/Sequence analysis,/Research and analysis methods/Database and informatics methods/Bioinformatics/Sequence analysis/DNA sequence analysis,/Research and analysis methods/Database and informatics methods/Bioinformatics/Sequence analysis/Sequence databases,/Research and analysis methods/Database and informatics methods/Biological databases/Sequence databases,/Research and analysis methods/Extraction techniques/DNA extraction,/Research and analysis methods/Molecular biology techniques/Artificial gene amplification and extension/Polymerase chain reaction",11/01/2019,TRUE
902,No,,,,,10.1371/journal.pone.0215163,PLOS ONE,Research Article,"Cheng Cheng,Kai Xu,Rui Kong,Gwo-Yu Chuang,Angela R Corrigan,Hui Geng,Kurt R Hill,Alexander J Jafari,Sijy O’Dell,Li Ou,Reda Rawi,Ariana P Rowshan,Edward K Sarfo,Mallika Sastry,Kevin O Saunders,Stephen D Schmidt,Shuishu Wang,Winston Wu,Baoshan Zhang,Nicole A Doria-Rose,Barton F Haynes,Diana G Scorpio,Lawrence Shapiro,John R Mascola,Peter D Kwong",20,Consistent elicitation of cross-clade HIV-neutralizing responses achieved in guinea pigs after fusion peptide priming by repetitive envelope trimer boosting,"/Biology and life sciences/Biochemistry/Proteins/Immune system proteins/Antibodies,/Biology and life sciences/Biochemistry/Proteins/Immune system proteins/Antibodies/Monoclonal antibodies,/Biology and life sciences/Biochemistry/Proteins/Immune system proteins/Antigens,/Biology and life sciences/Immunology/Immune response,/Biology and life sciences/Immunology/Immune response/Antibody response,/Biology and life sciences/Immunology/Immune system proteins/Antibodies,/Biology and life sciences/Immunology/Immune system proteins/Antibodies/Monoclonal antibodies,/Biology and life sciences/Immunology/Immune system proteins/Antigens,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV/HIV-1,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV/HIV-1,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Rodents/Guinea pigs,/Biology and life sciences/Organisms/Viruses/Immunodeficiency viruses/HIV/HIV-1,/Biology and life sciences/Organisms/Viruses/RNA viruses/Retroviruses/Lentivirus/HIV/HIV-1,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Immunodeficiency viruses/HIV/HIV-1,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Retroviruses/Lentivirus/HIV/HIV-1,/Biology and life sciences/Physiology/Immune physiology/Antibodies,/Biology and life sciences/Physiology/Immune physiology/Antibodies/Monoclonal antibodies,/Biology and life sciences/Physiology/Immune physiology/Antigens,/Medicine and health sciences/Immunology/Immune response,/Medicine and health sciences/Immunology/Immune response/Antibody response,/Medicine and health sciences/Immunology/Immune system proteins/Antibodies,/Medicine and health sciences/Immunology/Immune system proteins/Antibodies/Monoclonal antibodies,/Medicine and health sciences/Immunology/Immune system proteins/Antigens,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV/HIV-1,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV/HIV-1,/Medicine and health sciences/Physiology/Immune physiology/Antibodies,/Medicine and health sciences/Physiology/Immune physiology/Antibodies/Monoclonal antibodies,/Medicine and health sciences/Physiology/Immune physiology/Antigens,/Research and analysis methods/Animal studies/Experimental organism systems/Animal models/Guinea pigs,/Research and analysis methods/Immunologic techniques/Immunoassays/Enzyme-linked immunoassays",17/04/2019,TRUE
903,No,,,,,10.1371/journal.pone.0221166,PLOS ONE,Research Article,"Bingbing Zhang,Laidi Kan,Anqin Dong,Jiaqi Zhang,Zhongfei Bai,Yi Xie,Qianhao Liu,Yuzhong Peng",13,The effects of action observation training on improving upper limb motor functions in people with stroke: A systematic review and meta-analysis,"/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Neurons/Motor neurons,/Biology and life sciences/Neuroscience/Cellular neuroscience,/Biology and life sciences/Neuroscience/Cellular neuroscience/Neurons/Motor neurons,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs,/Medicine and health sciences/Neurology/Cerebrovascular diseases/Stroke,/Medicine and health sciences/Vascular medicine/Stroke,/Physical sciences/Mathematics/Statistics/Statistical methods/Metaanalysis,/Research and analysis methods/Database and informatics methods/Database searching,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Metaanalysis,/Research and analysis methods/Research assessment/Systematic reviews,/Science policy/Research integrity/Publication ethics",30/08/2019,TRUE
904,No,,,,,10.1371/journal.pone.0222566,PLOS ONE,Research Article,"Tesfalidet Tekelab,Catherine Chojenta,Roger Smith,Deborah Loxton",15,The impact of antenatal care on neonatal mortality in sub-Saharan Africa: A systematic review and meta-analysis,"/Biology and life sciences/Developmental biology/Neonates,/Biology and life sciences/Population biology/Population metrics/Death rates,/Medicine and health sciences/Health care/Neonatal care,/Medicine and health sciences/Pediatrics/Neonatology/Neonatal care,/Medicine and health sciences/Women's health/Maternal health/Antenatal care,/Medicine and health sciences/Women's health/Maternal health/Pregnancy,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy,/People and places/Geographical locations/Africa,/Physical sciences/Mathematics/Statistics/Statistical methods/Metaanalysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Metaanalysis,/Research and analysis methods/Research assessment/Systematic reviews",13/09/2019,TRUE
905,No,,,,,10.1371/journal.pone.0209777,PLOS ONE,Research Article,"Jessica González,Macarena Rodríguez-Fraile,Pilar Rivera,Patricia Restituto,Inmaculada Colina,María de los desamparados Calleja,Ana B Alcaide,Aránzazu Campo,Juan Bertó,Luís M Seijo,Teresa Pérez,Javier Zulueta,Nerea Varo,Juan P de-Torres",13,Trabecular bone score in active or former smokers with and without COPD,"/Biology and life sciences/Anatomy/Biological tissue/Connective tissue/Bone/Bone density,/Biology and life sciences/Anatomy/Bone/Bone density,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Anatomy/Biological tissue/Connective tissue/Bone/Bone density,/Medicine and health sciences/Anatomy/Bone/Bone density,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury/Bone fracture,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Pulmonology/Chronic obstructive pulmonary disease,/Medicine and health sciences/Pulmonology/Chronic obstructive pulmonary disease/Emphysema,/Medicine and health sciences/Pulmonology/Pulmonary function,/Medicine and health sciences/Rheumatology/Connective tissue diseases/Osteoporosis,/Research and analysis methods/Spectrum analysis techniques/Spectrophotometry/Densitometry",1/02/2019,TRUE
906,No,,,,,10.1371/journal.pone.0227131,PLOS ONE,Research Article,"A J L M Geraerds,Juanita A Haagsma,L de Munter,N Kruithof,M de Jongh,Suzanne Polinder",14,Medical and productivity costs after trauma,"/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury/Head injury,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury/Neurotrauma/Spinal cord injury,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury/Neurotrauma/Traumatic brain injury,/Medicine and health sciences/Health care/Health care facilities/Hospitals,/Medicine and health sciences/Health care/Health economics,/Medicine and health sciences/Neurology/Spinal cord injury,/People and places/Population groupings/Age groups,/People and places/Population groupings/Age groups/Elderly,/Social sciences/Economics/Health economics",30/12/2019,TRUE
907,No,,,,,10.1371/journal.pone.0217868,PLOS ONE,Research Article,"Guillaume Onyeaghala,John Lane,Nathan Pankratz,Heather H Nelson,Bharat Thyagarajan,Bruce Walcheck,Kristin E Anderson,Anna E Prizment",13,"Association between MICA polymorphisms, s-MICA levels, and pancreatic cancer risk in a population-based case-control study","/Biology and life sciences/Cell biology/Cellular types/Animal cells/Blood cells/White blood cells/T cells,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Immune cells/White blood cells/T cells,/Biology and life sciences/Computational biology/Genome analysis/Genome-wide association studies,/Biology and life sciences/Genetics/Genetic loci/Alleles,/Biology and life sciences/Genetics/Genomics/Genome analysis/Genome-wide association studies,/Biology and life sciences/Genetics/Heredity/Genetic mapping/Variant genotypes,/Biology and life sciences/Genetics/Human genetics/Genome-wide association studies,/Biology and life sciences/Immunology/Immune cells/White blood cells/T cells,/Biology and life sciences/Nutrition/Diet/Alcohol consumption,/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus,/Medicine and health sciences/Immunology/Immune cells/White blood cells/T cells,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus,/Medicine and health sciences/Nutrition/Diet/Alcohol consumption,/Medicine and health sciences/Oncology/Cancers and neoplasms/Gastrointestinal tumors/Pancreatic cancer,/Research and analysis methods/Research design/Case-control studies",5/06/2019,TRUE
908,No,,,,,10.1371/journal.pone.0210012,PLOS ONE,Research Article,"Maarten Cobussen,Patricia M Stassen,Dirk Posthouwer,Frank H van Tiel,Paul H M Savelkoul,Thomas Havenith,Michiel B Haeseker",10,Improving peak concentrations of a single dose regime of gentamicin in patients with sepsis in the emergency department,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Biochemistry/Biomarkers/Creatinine,/Biology and life sciences/Microbiology/Bacteriology/Gram negative bacteria,/Biology and life sciences/Microbiology/Microbial control/Antimicrobials/Antibiotics,/Biology and life sciences/Organisms/Bacteria/Enterobacteriaceae,/Biology and life sciences/Physiology/Body fluids/Blood,/Biology and life sciences/Physiology/Physiological parameters/Body weight,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Critical care and emergency medicine,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Sepsis,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Sepsis,/Medicine and health sciences/Pharmacology/Drugs/Antimicrobials/Antibiotics,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Physiology/Physiological parameters/Body weight",22/01/2019,TRUE
909,No,,,,,10.1371/journal.pone.0212819,PLOS ONE,Research Article,"Belén Frígols,Miguel Martí,Beatriz Salesa,Carolina Hernández-Oliver,Olav Aarstad,Ann-Sissel Teialeret Ulset,Gerd Inger S<U+04D5>trom,Finn Lillelund Aachmann,Ángel Serrano-Aroca",18,"Graphene oxide in zinc alginate films: Antibacterial activity, cytotoxicity, zinc release, water sorption/diffusion, wettability and opacity","/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Staphylococcus/Staphylococcus aureus,/Biology and life sciences/Microbiology/Microbial control/Antimicrobials/Antibacterials,/Biology and life sciences/Organisms/Bacteria/Staphylococcus/Staphylococcus aureus,/Biology and life sciences/Toxicology/Cytotoxicity,/Engineering and technology/Nanotechnology/Nanomaterials,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Staphylococcus/Staphylococcus aureus,/Medicine and health sciences/Pathology and laboratory medicine/Toxicology/Cytotoxicity,/Medicine and health sciences/Pharmacology/Drugs/Antimicrobials/Antibacterials,/Physical sciences/Chemistry/Chemical elements/Zinc,/Physical sciences/Chemistry/Physical chemistry/Sorption,/Physical sciences/Materials science/Material properties/Optical properties/Opacity,/Physical sciences/Materials science/Materials/Graphene,/Physical sciences/Materials science/Materials/Nanomaterials",7/03/2019,TRUE
910,No,,,,,10.1371/journal.pone.0215264,PLOS ONE,Research Article,"S Rinehart,J D Long",15,"Conspecifics, not pollen, reduce omnivore prey consumption","/Biology and life sciences/Ecology/Community ecology/Trophic interactions/Predation,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects,/Biology and life sciences/Organisms/Eukaryota/Plants/Flowering plants,/Biology and life sciences/Physiology/Reproductive physiology/Oviposition/Clutches,/Biology and life sciences/Plant science/Plant anatomy/Flowers,/Biology and life sciences/Plant science/Plant anatomy/Pollen,/Biology and life sciences/Population biology/Population dynamics/Predator-prey dynamics,/Biology and life sciences/Population biology/Population metrics/Population density,/Ecology and environmental sciences/Ecology/Community ecology/Trophic interactions/Predation,/Medicine and health sciences/Physiology/Reproductive physiology/Oviposition/Clutches",22/08/2019,TRUE
911,No,,,,,10.1371/journal.pone.0212436,PLOS ONE,Research Article,"Blanca Gavilán-Carrera,Jaqueline Garcia da Silva,José A Vargas-Hitos,José M Sabio,Pablo Morillas-de-Laguno,Raquel Rios-Fernández,Manuel Delgado-Fernández,Alberto Soriano-Maldonado",17,Association of physical fitness components and health-related quality of life in women with systemic lupus erythematosus with mild disease activity,"/Biology and life sciences/Biomechanics/Hand strength,/Biology and life sciences/Immunology/Clinical immunology/Autoimmune diseases/Lupus erythematosus/Systemic lupus erythematosus,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise/Strength training,/Medicine and health sciences/Clinical medicine/Clinical immunology/Autoimmune diseases/Lupus erythematosus/Systemic lupus erythematosus,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Pain/Myalgia,/Medicine and health sciences/Immunology/Clinical immunology/Autoimmune diseases/Lupus erythematosus/Systemic lupus erythematosus,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Pain/Myalgia,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise/Strength training,/Medicine and health sciences/Rheumatology/Systemic lupus erythematosus,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise/Strength training",20/02/2019,TRUE
912,No,,,,,10.1371/journal.pone.0221094,PLOS ONE,Research Article,"Clark Alves,Ahlam Saleh,Halimatou Alaofè",22,Iron-containing cookware for the reduction of iron deficiency anemia among children and females of reproductive age in low- and middle-income countries: A systematic review,"/Biology and life sciences/Physiology/Physiological processes/Food consumption,/Medicine and health sciences/Diagnostic medicine/Clinical laboratory sciences/Transfusion medicine/Blood transfusion,/Medicine and health sciences/Hematology/Anemia,/Medicine and health sciences/Hematology/Anemia/Iron deficiency anemia,/Medicine and health sciences/Hematology/Hemoglobinopathies,/Medicine and health sciences/Hematology/Transfusion medicine/Blood transfusion,/Medicine and health sciences/Physiology/Physiological processes/Food consumption,/Physical sciences/Chemistry/Chemical elements/Aluminum,/Physical sciences/Materials science/Metallurgy/Alloys/Steel,/Physical sciences/Materials science/Metallurgy/Alloys/Steel/Stainless steel",3/09/2019,TRUE
913,No,,,,,10.1371/journal.pone.0214583,PLOS ONE,Research Article,"Eric D McCollum,Siobhan P Brown,Evangelyn Nkwopara,Tisungane Mvalo,Susanne May,Amy Sarah Ginsburg",13,Development of a prognostic risk score to aid antibiotic decision-making for children aged 2-59 months with World Health Organization fast breathing pneumonia in Malawi: An Innovative Treatments in Pneumonia (ITIP) secondary analysis,"/Biology and life sciences/Microbiology/Microbial control/Antimicrobials/Antibiotics,/Biology and life sciences/Physiology/Physiological processes/Respiration/Breathing,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Parasitic diseases/Malaria,/Medicine and health sciences/Pediatrics,/Medicine and health sciences/Pediatrics/Child health,/Medicine and health sciences/Pediatrics/Pediatric pulmonology,/Medicine and health sciences/Pharmacology/Drugs/Antimicrobials/Antibiotics,/Medicine and health sciences/Physiology/Physiological processes/Respiration/Breathing,/Medicine and health sciences/Public and occupational health/Child health,/Medicine and health sciences/Pulmonology/Pediatric pulmonology,/Medicine and health sciences/Pulmonology/Pneumonia,/Medicine and health sciences/Tropical diseases/Malaria",20/06/2019,TRUE
914,No,,,,,10.1371/journal.pone.0225544,PLOS ONE,Research Article,"Hannah M C Schreier,Emily J Jones,Sibel Nayman,Joshua M Smyth",11,Associations between adverse childhood family environments and blood pressure differ between men and women,"/Biology and life sciences/Biochemistry/Hormones/Lipid hormones/Cortisol,/Biology and life sciences/Biochemistry/Hormones/Steroid hormones/Cortisol,/Biology and life sciences/Psychology/Psychological stress,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Mental health and psychiatry/Psychological stress,/Medicine and health sciences/Pediatrics/Child health,/Medicine and health sciences/Public and occupational health/Child health,/Medicine and health sciences/Vascular medicine/Blood pressure,/People and places/Population groupings/Age groups/Adults,/Social sciences/Psychology/Psychological stress,/Social sciences/Sociology/Human families",4/12/2019,TRUE
